Date,Type (Municipal water / Meter reading / Rain barrel),Total consumption (gallons),Current meter reading (gallons)
08/30/2021 06:28 AM,Rain barrel,1,
08/30/2021 03:34 PM,Rain barrel,1.6,
08/31/2021 06:58 AM,Rain barrel,1.6,
09/01/2021 07:32 AM,Rain barrel,1.6,
09/02/2021 05:12 PM,Rain barrel,3.6,
09/03/2021 07:04 AM,Rain barrel,1.6,
09/03/2021 01:07 PM,Rain barrel,1.6,
09/04/2021 02:36 PM,Rain barrel,1.5,
09/05/2021 11:21 AM,Rain barrel,1.6,
09/06/2021 06:15 PM,Rain barrel,1.6,
09/09/2021 06:21 PM,Rain barrel,3.2,
09/09/2021,Municipal water,8000,
09/10/2021 04:50 PM,Rain barrel,1.6,
09/12/2021 09:31 AM,Rain barrel,3.2,
09/13/2021 08:54 AM,Rain barrel,3.2,
09/14/2021 09:01 AM,Rain barrel,3.2,
09/15/2021 08:30 AM,Rain barrel,1.4,
09/18/2021 08:46 AM,Rain barrel,2.2,
09/18/2021 05:08 PM,Rain barrel,0.4,
09/22/2021 07:05 AM,Rain barrel,3.0,
09/23/2021 03:57 PM,Rain barrel,1.5,
09/24/2021 12:34 PM,Rain barrel,1.8,
09/27/2021 10:14 AM,Rain barrel,1.5,
10/03/2021 10:01 AM,Rain barrel,1.6,
10/04/2021,Meter reading,-20285.88,59422.22
10/04/2021 09:19 AM,Rain barrel,1.6,
10/05/2021 07:59 AM,Rain barrel,1.6,
10/06/2021 05:54 PM,Rain barrel,3.2,
10/07/2021 08:35 AM,Rain barrel,3.2,
10/08/2021 10:11 AM,Rain barrel,4.8,
10/08/2021,Municipal water,8000,
10/11/2021 08:51 AM,Rain barrel,3.2,
10/12/2021 10:06 AM,Rain barrel,3.2,
10/16/2021 08:19 AM,Rain barrel,8,
10/17/2021 11:34 AM,Rain barrel,4.8,
10/20/2021 06:18 PM,Rain barrel,3.2,
10/21/2021 08:03 AM,Rain barrel,3.2,
10/25/2021 08:04 AM,Rain barrel,3.2,
10/30/2021 10:05 AM,Rain barrel,1.5,
11/05/2021 10:00 AM,Rain barrel,9.1,
11/08/2021,Municipal water,4000,
12/08/2021,Municipal water,4000,
01/05/2021,Meter reading,-9995.63,69417.85
01/10/2022,Municipal water,4000,
02/08/2022,Municipal water,4000,
03/09/2022,Municipal water,3000,
04/01/2022,Meter reading,-7236.70,76654.55
04/01/2022 11:48 AM,Rain barrel,6.4,
04/08/2022,Municipal water,3000,
04/02/2022 09:47 AM,Rain barrel,6.4,
04/28/2022 12:57 PM,Rain barrel,2,
05/05/2022 06:59 PM,Rain barrel,1.6,
05/10/2022 12:50 PM,Rain barrel,1.6,
05/10/2022,Municipal water,6000,
05/14/2022 05:09 PM,Rain barrel,12.8,
05/15/2022 09:20 AM,Rain barrel,12.8,
05/16/2022 10:30 AM,Rain barrel,1.6,
05/15/2022 03:23 PM,Rain barrel,1.6,
05/17/2022 06:24 PM,Rain barrel,11.2,
05/19/2022 02:04 PM,Rain barrel,28.8,
05/23/2022 01:14 PM,Rain barrel,11.2,
05/24/2022 02:58 PM,Rain barrel,16,
05/25/2022 12:37 PM,Rain barrel,14.4,
05/26/2022 03:12 PM,Rain barrel,3.2,
05/28/2022 05:17 PM,Rain barrel,1.6,
05/31/2022 08:18 AM,Rain barrel,20.8,
06/03/2022 10:53 AM,Rain barrel,4.8,
06/04/2022 05:43 PM,Rain barrel,6.4,
06/05/2022 09:32 AM,Rain barrel,3.2,
06/05/2022 03:40 PM,Rain barrel,4.8,
06/07/2022 05:30 PM,Rain barrel,6.4,
06/07/2022 06:08 PM,Rain barrel,3.2,
06/08/2022 12:16 PM,Rain barrel,8,
06/09/2022,Municipal water,12000,
06/16/2022 09:08 AM,Rain barrel,6.4,
06/16/2022 09:15 AM,Rain barrel,12.8,
06/16/2022 09:24 AM,Rain barrel,16,
07/01/2022,Meter reading,-23053.30,99707.85
07/2022,Municipal water,17000,
07/02/2022 08:38 AM,Rain barrel,1.6,
07/03/2022 10:29 AM,Rain barrel,1.6,
07/04/2022 07:43 AM,Rain barrel,1,
07/05/2022 08:00 AM,Rain barrel,1.6,
07/07/2022 11:28 AM,Rain barrel,1.4,
07/08/2022 09:48 AM,Rain barrel,1.6,
07/08/2022 06:02 PM,Rain barrel,0.3,
07/09/2022 10:54 PM,Rain barrel,0.8,
07/10/2022 06:33 AM,Rain barrel,1.6,
07/11/2022 06:19 AM,Rain barrel,1.6,
07/12/2022 09:33 AM,Rain barrel,0.8,
07/14/2022 08:45 AM,Rain barrel,12,
07/15/2022 10:20 AM,Rain barrel,1.6,
07/16/2022 07:51 AM,Rain barrel,8,
07/18/2022 08:30 AM,Rain barrel,14.6,
07/19/2022 06:20 AM,Rain barrel,8,
07/20/2022 07:27 AM,Rain barrel,1.6,
07/21/2022 07:45 AM,Rain barrel,1.6,
07/24/2022 07:51 AM,Rain barrel,1.6,
07/23/2022 07:51 AM,Rain barrel,1,
07/29/2022 08:02 AM,Rain barrel,1.6,
07/30/2022 09:21 AM,Rain barrel,1.6,
08/2022,Municipal water,16000,
08/01/2022 08:09 AM,Rain barrel,8,
08/02/2022 08:34 AM,Rain barrel,25.6,
08/03/2022 06:49 AM,Rain barrel,1.6,
08/11/2022 09:40 AM,Rain barrel,1.6,
08/04/2022 04:42 PM,Rain barrel,1.6,
08/05/2022 07:43 AM,Rain barrel,1.6,
08/07/2022 07:34 AM,Rain barrel,1.6,
08/08/2022 10:47 PM,Rain barrel,1.6,
08/11/2022 09:40 AM,Rain barrel,1.6,
08/09/2022 07:22 AM,Rain barrel,1.6,
08/13/2022 07:19 PM,Rain barrel,2.4,
08/15/2022 08:59 AM,Rain barrel,1.6,
08/15/2022 04:53 PM,Rain barrel,60,
08/21/2022 09:35 AM,Rain barrel,11.2,
08/23/2022 08:57 AM,Rain barrel,6.4,
08/25/2022 08:58 AM,Rain barrel,9.6,
08/26/2022 08:15 AM,Rain barrel,0.8,
08/22/2022 10:35 AM,Rain barrel,0.8,
09/2022,Municipal water,26000,
09/01/2022 08:11 AM,Rain barrel,1.6,
09/07/2022 09:42 AM,Rain barrel,9.6,
09/08/2022 11:32 AM,Rain barrel,0.6,
09/18/2022 10:47 AM,Rain barrel,19.2,
09/21/2022 04:18 PM,Rain barrel,56,
09/23/2022 03:51 PM,Rain barrel,4.8,
09/24/2022 06:42 PM,Rain barrel,4.8,
09/26/2022 11:20 AM,Rain barrel,6.4,
09/27/2022 04:23 PM,Rain barrel,4.8,
09/28/2022 08:32 AM,Rain barrel,3.2,
09/30/2022 03:28 PM,Rain barrel,4.8,
10/2022,Municipal water,11000,
10/02/2022 03:30 PM,Rain barrel,4.8,
10/08/2022 02:46 PM,Rain barrel,8,
10/10/2022,Meter reading,-52043.97,151751.82
10/16/2022 09:18 AM,Rain barrel,6.4,
11/2022,Municipal water,4000,
11/11/2022 12:05 PM,Rain barrel,60,
12/2022,Municipal water,3000,
01/01/2023,Meter reading,-5449.23,157201.05
01/2023,Municipal water,-,
02/2023,Municipal water,-,
03/2023,Municipal water,-,
03/24/2023 08:41 AM,Rain barrel,28.5,
03/24/2023 11:06 PM,Rain barrel,15,
03/28/2023 10:47 AM,Rain barrel,14,
03/28/2023 03:38 PM,Rain barrel,8,
03/28/2023 03:43 PM,Rain barrel,3.2,
03/29/2023 09:08 AM,Rain barrel,3.2,
03/30/2023 09:54 AM,Rain barrel,6.4,
04/01/2023,Meter reading,-8885.84,166095.89
04/01/2023 09:05 AM,Rain barrel,7,
04/01/2023 11:45 AM,Rain barrel,3.2,
04/01/2023 11:50 AM,Rain barrel,3.2,
04/01/2023 12:07 PM,Rain barrel,3.2,
04/01/2023 12:17 PM,Rain barrel,1.6,
04/01/2023 07:43 PM,Rain barrel,4.5,
04/02/2023 08:47 AM,Rain barrel,3.2,
04/03/2023 08:19 AM,Rain barrel,7,
04/03/2023 09:30 AM,Rain barrel,7,
04/07/2023 05:35 PM,Rain barrel,3.2,
04/19/2023 02:14 PM,Rain barrel,3.2,
04/06/2023 09:41 AM,Rain barrel,3.2,
04/09/2023 09:18 AM,Rain barrel,3.2,
04/11/2023 11:12 AM,Rain barrel,3.2,
04/11/2023 04:32 PM,Rain barrel,1.6,
04/12/2023 02:05 PM,Rain barrel,1.6,
04/18/2023 10:20 AM,Rain barrel,4.8,
04/18/2023 10:20 AM,Rain barrel,9,
04/22/2023 11:16 AM,Rain barrel,1.6,
04/26/2023 04:44 PM,Rain barrel,2,
04/20/2023 11:03 AM,Rain barrel,3.2,
04/24/2023 06:04 PM,Rain barrel,3.8,
04/29/2023 09:21 AM,Rain barrel,1.6,
04/30/2023 09:37 AM,Rain barrel,8,
05/03/2023 01:24 PM,Rain barrel,3.2,
05/03/2023 01:58 PM,Rain barrel,1.6,
05/08/2023 11:13 AM,Rain barrel,1.6,
05/08/2023 05:50 PM,Rain barrel,16,
05/08/2023 06:07 PM,Rain barrel,1.6,
05/09/2023 06:23 PM,Rain barrel,9.6,
05/09/2023 07:08 PM,Rain barrel,4.8,
05/16/2023 06:29 PM,Rain barrel,10,
05/21/2023 12:16 PM,Rain barrel,3.2,
05/18/2023 07:06 PM,Rain barrel,1.6,
05/25/2023 12:26 PM,Rain barrel,3.2,
05/22/2023 06:40 PM,Rain barrel,3.2,
05/23/2023 06:33 PM,Rain barrel,5,
05/24/2023 01:30 PM,Rain barrel,1.6,
05/28/2023 07:10 AM,Rain barrel,3.2,
05/29/2023 09:24 AM,Rain barrel,5,
05/29/2023 01:35 PM,Rain barrel,1.6,
06/01/2023 10:10 AM,Rain barrel,4,
05/30/2023 09:06 AM,Rain barrel,4,
05/31/2023 05:53 PM,Rain barrel,6.5,
06/01/2023 04:52 PM,Rain barrel,1.6,
06/01/2023 05:19 PM,Rain barrel,4.8,
06/02/2023 07:06 PM,Rain barrel,8,
06/06/2023 10:38 AM,Rain barrel,1.6,
06/07/2023 03:06 PM,Rain barrel,3.2,
06/08/2023 09:42 AM,Rain barrel,3.2,
06/08/2023 12:28 PM,Rain barrel,4.8,
06/08/2023 12:34 PM,Rain barrel,4.8,
06/09/2023 05:48 PM,Rain barrel,6.4,
06/10/2023 05:59 PM,Rain barrel,6.4,
06/15/2023 04:03 PM,Rain barrel,4.8,
06/15/2023 06:22 PM,Rain barrel,4.8,
06/15/2023 07:04 PM,Rain barrel,1.6,
06/19/2023 09:27 AM,Rain barrel,3.2,
06/19/2023 09:35 AM,Rain barrel,1.6,
06/30/2023,Meter reading,-6148.25,172244.14
